Date,Text,Sentiment,,,,,,,,,
12-11-2020 04:01,RT @SuperSaf: NEW VIDEO: iPhone 12 Pro Max vs Samsung Galaxy Note 20 Ultra #SuperSafStyle Camera Comparison 😋 ►►►  https://t.co/97Xj9hwl7a…,Neutral,,,,,,,,,
12-11-2020 04:00,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Positive,,,,,,,,,
12-11-2020 04:00,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Positive,,,,,,,,,
12-11-2020 04:00,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 04:00,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Positive,,,,,,,,,
12-11-2020 03:59,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Positive,,,,,,,,,
12-11-2020 03:59,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Positive,,,,,,,,,
12-11-2020 03:58,"RT @gizbot: Samsung Galaxy F41 Is Ready To Rule The Segment With Top-Notch Performance &amp; Features
https://t.co/SVhiY8rtdM",Positive,,,,,,,,,
12-11-2020 03:58,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Positive,,,,,,,,,
12-11-2020 03:56,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Positive,,,,,,,,,
12-11-2020 03:55,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:55,"RT @LaxmikantWaghm7: Hurry Up !!!

Last Day Of Huge Discounts On Electronics !!!

Check Out The Link For More Details - https://t.co/F0Auxz…",Positive,,,,,,,,,
12-11-2020 03:55,"Hurry Up !!!

Last Day Of Huge Discounts On Electronics !!!

Check Out The Link For More Details - https://t.co/F0AuxzebBg (Affiliate Link)

#HappyDiwali #Diwali #Smartphone #DiwaliShopping #Samsung #Redmi #Oneplus #Apple #Amazon https://t.co/xDq8DxW2xc",Positive,,,,,,,,,
12-11-2020 03:54,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",Negative,,,,,,,,,
