Date,Text,UserName,ScreenName,Bio,FollowersCount,FollowingCount,Language,RetweetCount,Location,Id_str,Source,Link
2020-11-12 04:01:40,RT @SuperSaf: NEW VIDEO: iPhone 12 Pro Max vs Samsung Galaxy Note 20 Ultra #SuperSafStyle Camera Comparison 😋 ►►►  https://t.co/97Xj9hwl7a…,planerbeat,planerbeat,ЛГБТ-инструктор,28,111,en,43,Объединенные Рабские Вымираты,1326736897792675841,Tweetbot for iΟS,https://twitter.com/planerbeat/status/1326736897792675841
2020-11-12 04:00:55,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Victory⁷BE🧨Dynamite,Khloe716,"보라해💜BTS 💜아미💜🌈
'Teamwork Makes The Dream Work'
사랑해요💜방탄소년단💜보라해",58,215,en,2085,,1326736708046483459,Twitter for Android,https://twitter.com/Khloe716/status/1326736708046483459
2020-11-12 04:00:41,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",BiiBoo ~ FIX,wana_santika,#CIX,75,314,en,48,,1326736648718016512,Twitter for Android,https://twitter.com/wana_santika/status/1326736648718016512
2020-11-12 04:00:16,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",•0902•ʕ•ᴥ•ʔ,pkyjungwon,"คลั่งรัก จองวอน #Enhypen
@ENHYPEN_members
#ENGENE",23,79,en,69,,1326736542899924992,Twitter for Android,https://twitter.com/pkyjungwon/status/1326736542899924992
2020-11-12 04:00:13,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Mia Yales Oliverio 🌸,miaxxi0514,"BYOUNGGON's GONISAUR 💙

BOBBY's 💜

FIX | iKONIC | INNERCIRCLE | VIP | BLACKJACK | MATE | CARAT | TREASURE MAKER",100,148,en,48,Philippines  Seoul,1326736532053483520,Twitter for iPhone,https://twitter.com/miaxxi0514/status/1326736532053483520
2020-11-12 03:59:42,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",✜°ɪ'ʟʟ ᴡᴀɪᴛ ғᴏʀ ʏᴏᴜ ʏᴏᴏɴɢɪ,BamgyuMin,"ᵐⁱˢˢⁱⁿᵍ ᵗᵃᵏⁱᴇᴠʀʏᴅʏ.
❣︎❣︎❣︎𖠌",523,2494,en,69,,1326736402831175680,Twitter for Android,https://twitter.com/BamgyuMin/status/1326736402831175680
2020-11-12 03:59:10,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",an || ˣ¹ Reboot kajja!,myloveunsang,Multistan intinya mah saya teh suka banyak grup || X1 PROTECTION SQUAD!don't follow me if you hate X1💃,204,1331,en,48,🧡💙,1326736265962688512,Twitter for Android,https://twitter.com/myloveunsang/status/1326736265962688512
2020-11-12 03:58:38,"RT @gizbot: Samsung Galaxy F41 Is Ready To Rule The Segment With Top-Notch Performance &amp; Features
https://t.co/SVhiY8rtdM",Gizbot Telugu,GizbotTelugu,"మొబైల్ లు ,లాప్ టాప్ లు ,టాబ్లెట్ ,సోషల్ నెట్వర్కింగ్ సైట్ లు ,టెక్నాలజీ మరియు సైన్స్ లకు సంబంధించిన  తాజా వార్తలను మీకిష్టమైన మీ తెలుగు బాష లో చదవండి",698,15,en,4,,1326736134349742082,Twitter Web App,https://twitter.com/GizbotTelugu/status/1326736134349742082
2020-11-12 03:58:18,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Sall 🐑 || 🌾,98_sbn,Day -19 🌄 || You and I We Can Fly 🕊.................|| 🦌🦅🐕🐧🦊🐈🐅 @ENHYPEN_members,562,683,en,69,,1326736050425786370,Twitter for Android,https://twitter.com/98_sbn/status/1326736050425786370
2020-11-12 03:56:50,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",ENGENE 🐈,sheepinmoon,"ENHYPEN ❤️ ENGENE
.
7 or Nothing",108,166,en,69,🇮🇩,1326735681771614210,Twitter for Android,https://twitter.com/sheepinmoon/status/1326735681771614210
2020-11-12 03:55:53,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",ayamxxi⁷,ayamkwon,BTS TXT ENHYPEN,161,432,en,2085,,1326735440926289920,Twitter for Android,https://twitter.com/ayamkwon/status/1326735440926289920
2020-11-12 03:55:34,"RT @LaxmikantWaghm7: Hurry Up !!!

Last Day Of Huge Discounts On Electronics !!!

Check Out The Link For More Details - https://t.co/F0Auxz…",AppleRetweetBot,AppleRTweet,"Just a bot that retweets tweets containing #Apple.
| By @rapheww.
| This is not an account created by Apple.",836,1,en,1,From the Cloud,1326735360794251264,,https://twitter.com/AppleRTweet/status/1326735360794251264
2020-11-12 03:55:21,"Hurry Up !!!

Last Day Of Huge Discounts On Electronics !!!

Check Out The Link For More Details - https://t.co/F0AuxzebBg (Affiliate Link)

#HappyDiwali #Diwali #Smartphone #DiwaliShopping #Samsung #Redmi #Oneplus #Apple #Amazon https://t.co/xDq8DxW2xc",Laxmikant Waghmare,LaxmikantWaghm7,,1,5,en,1,,1326735306113093632,Twitter Web App,https://twitter.com/LaxmikantWaghm7/status/1326735306113093632
2020-11-12 03:54:10,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",byulbae,Shfqh404,my eyes look like I smoke weeds 24/7,193,141,en,9,my room,1326735008673902592,Twitter for Android,https://twitter.com/Shfqh404/status/1326735008673902592
